Species,Species_Abb,Stream,Stream_Abb,Group,Group_Abb,Mesohabitat,Mesohabitat_Abb
Black Bass,BB,Beaver,WB,"December,January,February",High,None,Meso
Black Bass,BB,Beaver,WB,"March,April,May,June,July,September,October,November",Low,None,Meso
Black Bass,BB,Clear,WC,"December,January,February",High,None,Meso
Black Bass,BB,Clear,WC,"March,April,May,June,July,September,October,November",Low,None,Meso
Desert Sucker,DS,Beaver,WB,"December,January,February",High,None,Meso
Desert Sucker,DS,Beaver,WB,"March,April,May,June,July,September,October,November",Low,None,Meso
Desert Sucker,DS,Clear,WC,"December,January,February",High,None,Meso
Desert Sucker,DS,Clear,WC,"March,April,May,June,July,September,October,November",Low,None,Meso
Black Bass,BB,Beaver,WB,"December,January,February",High,Riffle,RI
Black Bass,BB,Beaver,WB,"December,January,February",High,Pool,PO
Black Bass,BB,Beaver,WB,"December,January,February",High,Run,RU
Black Bass,BB,Beaver,WB,"March,April,May,June,July,September,October,November",Low,Riffle,RI
Black Bass,BB,Beaver,WB,"March,April,May,June,July,September,October,November",Low,Pool,PO
Black Bass,BB,Beaver,WB,"March,April,May,June,July,September,October,November",Low,Run,RU
Black Bass,BB,Clear,WC,"December,January,February",High,Riffle,RI
Black Bass,BB,Clear,WC,"December,January,February",High,Pool,PO
Black Bass,BB,Clear,WC,"December,January,February",High,Run,RU
Black Bass,BB,Clear,WC,"March,April,May,June,July,September,October,November",Low,Riffle,RI
Black Bass,BB,Clear,WC,"March,April,May,June,July,September,October,November",Low,Pool,PO
Black Bass,BB,Clear,WC,"March,April,May,June,July,September,October,November",Low,Run,RU
Desert Sucker,DS,Beaver,WB,"December,January,February",High,Riffle,RI
Desert Sucker,DS,Beaver,WB,"December,January,February",High,Pool,PO
Desert Sucker,DS,Beaver,WB,"December,January,February",High,Run,RU
Desert Sucker,DS,Beaver,WB,"March,April,May,June,July,September,October,November",Low,Riffle,RI
Desert Sucker,DS,Beaver,WB,"March,April,May,June,July,September,October,November",Low,Pool,PO
Desert Sucker,DS,Beaver,WB,"March,April,May,June,July,September,October,November",Low,Run,RU
Desert Sucker,DS,Clear,WC,"December,January,February",High,Riffle,RI
Desert Sucker,DS,Clear,WC,"December,January,February",High,Pool,PO
Desert Sucker,DS,Clear,WC,"December,January,February",High,Run,RU
Desert Sucker,DS,Clear,WC,"March,April,May,June,July,September,October,November",Low,Riffle,RI
Desert Sucker,DS,Clear,WC,"March,April,May,June,July,September,October,November",Low,Pool,PO
Desert Sucker,DS,Clear,WC,"March,April,May,June,July,September,October,November",Low,Run,RU
